[6, 676]: 0.00769
[12, 132]: 0.00785
[12, 722]: 0.0074
[21, 413]: 0.00756
[21, 793]: 0.00765
[21, 857]: 0.00729
[32, 947]: 0.0072
[33, 217]: 0.00852
[33, 283]: 0.00845
[33, 346]: 0.00844
[33, 515]: 0.00824
[39, 145]: 0.00734
[39, 704]: 0.01107
[39, 825]: 0.01187
[57, 937]: 0.00782
[69, 362]: 0.00757
[70, 684]: 0.0086
[70, 765]: 0.00789
[70, 819]: 0.00798
[72, 541]: 0.00846
[75, 438]: 0.00772
[75, 684]: 0.00797
[75, 775]: 0.00787
[175, 910]: 0.00713
[192, 935]: 0.00775
[208, 290]: 0.00803
[208, 458]: 0.00796
[208, 888]: 0.00829
[208, 969]: 0.00806
[214, 354]: 0.00775
[217, 283]: 0.00926
[217, 346]: 0.01336
[217, 515]: 0.00843
[217, 947]: 0.00716
[227, 390]: 0.01049
[227, 722]: 0.00995
[283, 346]: 0.0091
[283, 515]: 0.00835
[290, 458]: 0.00786
[290, 888]: 0.00826
[290, 969]: 0.00797
[296, 829]: 0.00736
[346, 515]: 0.00849
[368, 494]: 0.0086
[368, 682]: 0.01193
[368, 692]: 0.00928
[368, 829]: 0.01194
[368, 937]: 0.00701
[390, 722]: 0.01042
[392, 489]: 0.00866
[392, 862]: 0.00881
[401, 571]: 0.00708
[411, 803]: 0.00826
[413, 793]: 0.00766
[413, 857]: 0.00731
[438, 684]: 0.00825
[448, 538]: 0.00723
[458, 888]: 0.00796
[458, 969]: 0.00788
[470, 534]: 0.00764
[470, 995]: 0.00754
[471, 678]: 0.0081
[471, 960]: 0.00935
[494, 682]: 0.00714
[494, 862]: 0.0072
[496, 626]: 0.00761
[529, 598]: 0.00943
[529, 782]: 0.00862
[534, 995]: 0.0075
[538, 878]: 0.00767
[571, 623]: 0.00783
[571, 795]: 0.00838
[571, 853]: 0.00793
[598, 782]: 0.008
[623, 795]: 0.00805
[623, 853]: 0.00791
[675, 886]: 0.00823
[684, 765]: 0.00812
[684, 819]: 0.008
[704, 825]: 0.01102
[765, 819]: 0.00787
[788, 956]: 0.00733
[789, 829]: 0.01194
[793, 857]: 0.00734
[795, 853]: 0.00806
[888, 969]: 0.0081
[923, 947]: 0.00859
